XFLR5_v4.02_beta
07/01/2008  at  17:10:40 
Wing name :        MainWing
Wing polar name :  T1-48.5 ft/s-LLT-  0.00in
Freestream speed : 48.5 ft/s

   alpha      CL         ICd        PCd        TCd       GCm         GRm        GYm        IYm       QInf        XCP
 _________ _________  _________  _________  _________  _________  _________  _________  _________ __________ __________
  -10.000  -0.191886   0.000872   0.148146   0.149018   0.031676  -0.000000  -0.000000  -0.000000   14.7828       0.0191
   -9.000  -0.135202   0.000525   0.135638   0.136163   0.004665  -0.000000  -0.000000  -0.000000   14.7828      -0.0219
   -8.000  -0.065848   0.000189   0.122393   0.122582  -0.026928  -0.000000  -0.000000  -0.000000   14.7828      -0.0855
   -7.000   0.001795   0.000047   0.111252   0.111299  -0.058275  -0.000000  -0.000000  -0.000000   14.7828       8.3455
   -6.000   0.071957   0.000122   0.099748   0.099869  -0.089859  -0.000000  -0.000000   0.000000   14.7828       0.3936
   -5.000   0.118151   0.000282   0.087884   0.088165  -0.109202  -0.000000  -0.000000   0.000000   14.7828       0.2024
   -4.000   0.193503   0.000746   0.075847   0.076593  -0.139547  -0.000000  -0.000000   0.000000   14.7828       0.1551
   -3.000   0.342520   0.002329   0.062156   0.064486  -0.208511   0.000000  -0.000000   0.000000   14.7828       0.1299
   -2.000   0.497905   0.005022   0.049471   0.054493  -0.278752   0.000000  -0.000000   0.000000   14.7828       0.1177
   -1.000   0.693208   0.009724   0.036560   0.046284  -0.367225   0.000000  -0.000000  -0.000000   14.7828       0.1100
    0.000   0.961779   0.018650   0.021865   0.040515  -0.493030   0.000000  -0.000000   0.000000   14.7828       0.1032
    1.000   1.114627   0.025187   0.019285   0.044472  -0.545672   0.000000  -0.000000   0.000000   14.7828       0.0977
    2.000   1.234718   0.031098   0.019599   0.050696  -0.580938   0.000000  -0.000000   0.000000   14.7828       0.0935
    3.000   1.343043   0.036884   0.020419   0.057303  -0.610634   0.000000   0.000000   0.000000   14.7828       0.0899
    4.000   1.446995   0.042908   0.021370   0.064278  -0.638184   0.000000   0.000000   0.000000   14.7828       0.0869
    5.000   1.545045   0.049006   0.022496   0.071502  -0.662822   0.000000   0.000000   0.000000   14.7828       0.0842
    6.000   1.636358   0.055107   0.023624   0.078732  -0.684210   0.000000   0.000000   0.000000   14.7828       0.0816
    7.000   1.728420   0.061506   0.025190   0.086696  -0.706243   0.000000   0.000000   0.000000   14.7828       0.0794
    8.000   1.818924   0.068227   0.027182   0.095409  -0.727653   0.000000   0.000000   0.000000   14.7828       0.0773
    9.000   1.902978   0.074750   0.029468   0.104219  -0.746039   0.000000   0.000000   0.000000   14.7828       0.0754
   10.000   1.977033   0.080825   0.031164   0.111989  -0.759208   0.000000   0.000000   0.000000   14.7828       0.0735
   11.000   2.049352   0.086964   0.033199   0.120163  -0.771762   0.000000   0.000000   0.000000   14.7828       0.0716
   12.000   2.103500   0.091863   0.035610   0.127473  -0.775874   0.000000   0.000000   0.000000   14.7828       0.0698
   13.000   2.141979   0.095456   0.037696   0.133152  -0.772786   0.000000   0.000000   0.000000   14.7828       0.0678


