                    	Weight (lbf)	CG [x,y,z] (in)	MOI [Ixx, Iyy, Izz] (slug ft^2)	
Propulsion          	1.80	    2.9,     0.0,     8.5	  0.009,   0.080,   0.072	
   Prop 14x5        	0.30	    0.9,     0.0,     8.5	  0.003,   0.018,   0.016	
   Engine           	1.50	    3.3,     0.0,     8.5	  0.006,   0.062,   0.056	
Main Gear           	0.00	   18.1,     0.0,     1.6	  0.000,   0.000,   0.000	
   Strut            	0.00	   18.1,     0.0,     2.8	  0.000,   0.000,   0.000	
   Wheel            	0.00	   18.1,     0.0,     0.5	  0.000,   0.000,   0.000	
Horizontal Tail     	0.00	   75.7,     0.0,    11.2	  0.000,   0.000,   0.000	
   Elevator         	0.00	   80.1,     0.0,    11.2	  0.000,   0.000,   0.000	
      Servo         	0.00	   78.6,     4.3,    11.7	  0.000,   0.000,   0.000	
Main Wing           	2.55	   12.6,     0.0,    10.7	  0.092,   0.011,   0.097	
   MainSpar         	0.02	   12.2,     0.0,    10.8	  0.005,   0.000,   0.005	
   Aileron          	0.00	   17.5,     0.0,    10.6	  0.000,   0.000,   0.000	
      Servo         	0.00	   14.9,     0.0,    10.7	  0.000,   0.000,   0.000	
Nose Gear           	0.00	    4.8,     0.1,     2.1	  0.000,   0.000,   0.000	
   Strut            	0.00	    4.8,     0.0,     3.8	  0.000,   0.000,   0.000	
   Wheel            	0.00	    4.8,     0.2,     0.5	  0.000,   0.000,   0.000	
Vertical Tail       	0.00	   70.0,     0.0,    16.6	  0.000,   0.000,   0.000	
   Rudder           	0.00	   72.4,     0.0,    16.6	  0.000,   0.000,   0.000	
      Servo         	0.00	   70.9,     0.0,    17.1	  0.000,   0.000,   0.000	
Fuselage            	4.50	   10.8,     0.1,     5.6	  0.056,   0.141,   0.086	
   BulkHead         	0.50	    4.8,     0.0,     8.5	  0.002,   0.017,   0.015	
   Nose             	1.30	    7.6,     0.5,     7.6	  0.009,   0.031,   0.023	
      Battery       	0.50	    6.2,     1.6,     8.3	  0.003,   0.013,   0.011	
      FuelTank      	0.50	   10.5,     0.0,     8.5	  0.002,   0.006,   0.004	
      NoseWheelServo	0.10	    9.0,    -1.3,     6.0	  0.001,   0.002,   0.001	
   BulkHead         	0.00	   11.8,     0.0,     7.5	  0.000,   0.000,   0.000	
   PyldBay          	2.00	    8.4,     0.0,     3.8	  0.036,   0.064,   0.027	
   BulkHead         	0.00	   21.8,     0.0,     7.5	  0.000,   0.000,   0.000	
   TailTaper        	0.00	   18.1,     0.0,     4.7	  0.000,   0.000,   0.000	
   BulkHead         	0.00	   36.8,     0.0,     9.5	  0.000,   0.000,   0.000	
   Tail             	0.70	   28.1,     0.0,     5.2	  0.009,   0.030,   0.021	
   BulkHead         	0.00	   75.7,     0.0,    11.2	  0.000,   0.000,   0.000	
Totals:             	8.85	    9.7,     0.1,     7.7	  0.157,   0.231,   0.255	
